,index,003432 - 興翼招生A組(商學管理)_招生名額:正取,003432 - 興翼招生A組(商學管理)_招生名額:備取
0,0,10214211(財務⾦融學系),10174725
1,1,10249507(會計學系),10171629
2,2,10238013(企業管理學系),10178025
3,3,10170520(資訊管理學系),10285701
4,4,10110912(⾏銷學系),10310901
5,5,10271030(企業管理學系),10147129
6,6,10276203(應⽤經濟學系),10241832
7,7,10271435(應⽤經濟學系),10127315
8,8,10311626(⾏銷學系),10177303
9,9,10170001(⾏銷學系),10178929
10,10,,10063008
11,11,,10268315
12,12,,10233513
13,13,,10210909
14,14,,10224803
15,15,,10136432
16,16,,10213217
17,17,,10218235
18,18,,10270916
19,19,,10060205
20,20,,10138130
21,21,,10182923
22,22,,10244015
23,23,,10210701
24,24,,10252615
25,25,,10221915
26,26,,10280835
27,27,,10276323
28,28,,10209808
29,29,,10023409
30,30,,10213215
31,31,,10025725
32,32,,10002330
33,33,,10234122
34,34,,10242905
35,35,,10200417
36,36,,10306129
37,37,,10023631
38,38,,10079127
39,39,,10063012
