,index,003442 - 興翼招生B組(文史法律)_招生名額:正取,003442 - 興翼招生B組(文史法律)_招生名額:備取
0,0,10249617(法律學系),10208217
1,1,10306328(中國文學系),10117913
2,2,10144117(台灣人文創新學士學位學程),10168517
3,3,10296820(歷史學系),10301833
4,4,10240910(歷史學系),10248235
5,5,,10147826
6,6,,10271922
7,7,,10174925
8,8,,10200509
9,9,,10223916
10,10,,10244402
11,11,,10214233
12,12,,10155813
13,13,,10054301
14,14,,10284926
15,15,,10233228
16,16,,10262811
17,17,,10016225
18,18,,10201711
19,19,,10177303
20,20,,10074705
21,21,,10221236
22,22,,10125735
23,23,,10050805
24,24,,10078815
25,25,,10241602
26,26,,10186005
27,27,,10079101
28,28,,10177327
29,29,,10207602
30,30,,10077420
31,31,,10174923
32,32,,10296518
33,33,,10238027
34,34,,10270436
35,35,,10262534
36,36,,10260721
37,37,,10015426
38,38,,10123431
39,39,,10253929
