,index,003462 - 興翼招生D組(化材電資暨工程)_招生名額:正取,003462 - 興翼招生D組(化材電資暨工程)_招生名額:備取
0,0,10004602(資訊工程學系),10174725
1,1,10234903(電機資訊學院學士班),10239713
2,2,10222335(電機工程學系),10243031
3,3,10208309(電機工程學系),10071409
4,4,"<span class=""auto-style1""> 獲興翼獎學金領獎資格</span>",10272921
5,5,10268405(化學工程學系),10210027
6,6,10240802(材料科學與工程學系),10039624
7,7,10212132(智慧創意工程學士學位學程),10270916
8,8,10249612(生物產業機電工程學系),10307407
9,9,10213728(物理學系光電物理組),10293923
10,10,10074426(機械工程學系),10156713
11,11,10229018(物理學系一般物理組),10166401
12,12,10109526(機械工程學系),10075908
13,13,10199017(土木工程學系),10068636
14,14,10305417(土木工程學系),10280509
15,15,10280130(環境工程學系),10254604
16,16,10259415(環境工程學系),10132115
17,17,10074306(水土保持學系),10284625
18,18,10019917(水土保持學系),10254829
19,19,,10210811
20,20,,10249722
21,21,,10239421
22,22,,10069011
23,23,,10302936
24,24,,10235009
25,25,,10232415
26,26,,10024324
27,27,,10103427
28,28,,10098308
29,29,,10272728
30,30,,10180921
31,31,,10197915
32,32,,10281611
33,33,,10167025
34,34,,10211408
35,35,,10218913
36,36,,10184926
37,37,,10277934
38,38,,10293205
39,39,,10115523
