,index,020472 - 企業管理學系_招生名額:正取,020472 - 企業管理學系_招生名額:備取,020472 - 企業管理學系_原住民外加名額:正取,020472 - 企業管理學系_原住民外加名額:備取,020472 - 企業管理學系_離島外加名額:正取,020472 - 企業管理學系_離島外加名額:備取
0,0,10095727,10043721,10101223,10317130,10322022,10321927
1,1,10202636,10254425,10123235,10103804,,10322009
2,2,10146216,10064619,10314406,10066827,,10322201
3,3,10031330,10056016,,10164114,,10321933
4,4,10137403,10068129,,10121313,,10322014
5,5,10015835,10056328,,,,10322406
6,6,10016132,10127109,,,,
7,7,10015414,10003229,,,,
8,8,10102826,10056004,,,,
9,9,10272513,10074214,,,,
10,10,10148433,10096027,,,,
11,11,10127125,10101611,,,,
12,12,10233028,10315231,,,,
13,13,10038924,10150632,,,,
14,14,10045128,10055224,,,,
15,15,10096214,10021516,,,,
16,16,10056129,10086315,,,,
17,17,10124026,10078305,,,,
18,18,10126703,10165211,,,,
19,19,10097529,10184827,,,,
20,20,10044826,10022617,,,,
21,21,10282513,10063520,,,,
22,22,10000718,10088435,,,,
23,23,10014519,10082420,,,,
24,24,10290202,10064824,,,,
25,25,10197907,10123913,,,,
26,26,10024320,10037404,,,,
27,27,10102535,10121236,,,,
28,28,10182713,10002216,,,,
29,29,10054736,10100912,,,,
30,30,10051230,10276017,,,,
31,31,10027906,10014026,,,,
32,32,10052105,10006227,,,,
33,33,10056315,10096222,,,,
34,34,10157034,10169816,,,,
35,35,10159619,10069525,,,,
36,36,10169230,10097327,,,,
37,37,10054614,10101136,,,,
38,38,10037413,10032315,,,,
39,39,10293508,10038830,,,,
40,40,10088906,10146626,,,,
41,41,10100919,10309135,,,,
42,42,10178305,10044035,,,,
43,43,10192119,10059606,,,,
44,44,10032212,10219129,,,,
45,45,10051118,10069624,,,,
46,46,10073030,10022111,,,,
47,47,10201509,10294313,,,,
48,48,10094217,10310716,,,,
49,49,10063521,10037202,,,,
50,50,10192631,10016212,,,,
51,51,10201425,10019015,,,,
52,52,10027102,10101019,,,,
53,53,10039111,10001623,,,,
54,54,10159919,10031727,,,,
55,55,10032318,10267835,,,,
56,56,10165015,10156110,,,,
57,57,10052425,10017827,,,,
58,58,10156124,10165529,,,,
59,59,10173711,10183625,,,,
60,60,10002907,10044814,,,,
61,61,10228207,10079305,,,,
62,62,10232804,10156533,,,,
63,63,10051817,10051125,,,,
64,64,10183906,10311624,,,,
65,65,10054722,10052519,,,,
66,66,10073230,10068515,,,,
67,67,10045103,10077131,,,,
68,68,10097534,10322022,,,,
69,69,10051929,10165301,,,,
70,70,10083903,10054812,,,,
71,71,10123336,10075017,,,,
72,72,10038427,10242918,,,,
73,73,10018405,10084101,,,,
74,74,10165527,10069832,,,,
75,75,10151321,10184017,,,,
76,76,10021003,10317625,,,,
77,77,10102022,10319819,,,,
78,78,10036836,10063310,,,,
79,79,10016612,10001401,,,,
80,80,10073102,10031126,,,,
81,81,,10031921,,,,
82,82,,10055425,,,,
83,83,,10002526,,,,
84,84,,10102717,,,,
85,85,,10058603,,,,
86,86,,10245418,,,,
87,87,,10045616,,,,
88,88,,10052136,,,,
89,89,,10173607,,,,
90,90,,10043903,,,,
91,91,,10074014,,,,
92,92,,10038402,,,,
93,93,,10063733,,,,
94,94,,10076310,,,,
95,95,,10114406,,,,
96,96,,10031329,,,,
97,97,,10079333,,,,
98,98,,10073103,,,,
99,99,,10317303,,,,
100,100,,10014318,,,,
101,101,,10201903,,,,
102,102,,10292936,,,,
103,103,,10101023,,,,
104,104,,10005116,,,,
105,105,,10289218,,,,
106,106,,10199616,,,,
107,107,,10137925,,,,
108,108,,10181025,,,,
109,109,,10015728,,,,
110,110,,10033827,,,,
111,111,,10079527,,,,
112,112,,10026418,,,,
113,113,,10174928,,,,
114,114,,10097203,,,,
115,115,,10294216,,,,
116,116,,10051713,,,,
117,117,,10030607,,,,
118,118,,10101009,,,,
119,119,,10106208,,,,
120,120,,10198325,,,,
121,121,,10119605,,,,
122,122,,10052625,,,,
123,123,,10165106,,,,
124,124,,10044602,,,,
125,125,,10025912,,,,
126,126,,10164526,,,,
127,127,,10219634,,,,
128,128,,10233318,,,,
129,129,,10026014,,,,
130,130,,10096624,,,,
131,131,,10122613,,,,
132,132,,10238429,,,,
133,133,,10001517,,,,
134,134,,10100927,,,,
135,135,,10025619,,,,
136,136,,10032325,,,,
137,137,,10119413,,,,
138,138,,10221801,,,,
139,139,,10021921,,,,
140,140,,10173717,,,,
141,141,,10031015,,,,
142,142,,10022321,,,,
143,143,,10045505,,,,
144,144,,10018508,,,,
145,145,,10006408,,,,
146,146,,10078705,,,,
147,147,,10246733,,,,
148,148,,10035403,,,,
149,149,,10138018,,,,
150,150,,10245305,,,,
151,151,,10273232,,,,
152,152,,10097316,,,,
153,153,,10077915,,,,
154,154,,10037729,,,,
155,155,,10102428,,,,
156,156,,10111224,,,,
157,157,,10189221,,,,
158,158,,10054610,,,,
159,159,,10156828,,,,
160,160,,10129731,,,,
161,161,,10052014,,,,
162,162,,10068005,,,,
163,163,,10037204,,,,
164,164,,10003231,,,,
165,165,,10279410,,,,
166,166,,10044807,,,,
167,167,,10000613,,,,
168,168,,10135817,,,,
169,169,,10105805,,,,
170,170,,10101517,,,,
171,171,,10015114,,,,
172,172,,10075006,,,,
173,173,,10157112,,,,
174,174,,10323311,,,,
175,175,,10059805,,,,
176,176,,10064804,,,,
177,177,,10237325,,,,
178,178,,10038908,,,,
179,179,,10034006,,,,
180,180,,10037335,,,,
181,181,,10035222,,,,
182,182,,10143826,,,,
183,183,,10207820,,,,
184,184,,10037430,,,,
185,185,,10072818,,,,
186,186,,10123817,,,,
187,187,,10063623,,,,
